ano,etnia,genero,subarea,quantidade_subarea,total_paper
2007,Africans,M,"Computer Science",260,419
2007,Africans,N/A,"Computer Science",17,26
2007,British,F,"Computer Science",421,534
2007,British,M,"Computer Science",2258,3107
2007,British,N/A,"Computer Science",94,119
2007,EastEuropean,F,"Computer Science",134,202
2007,EastEuropean,M,"Computer Science",536,880
2007,EastEuropean,N/A,"Computer Science",11,18
2007,GreaterEastAsian,F,"Computer Science",1119,1429
2007,GreaterEastAsian,M,"Computer Science",2335,3117
2007,GreaterEastAsian,N/A,"Computer Science",747,1013
2007,IndianSubContinent,F,"Computer Science",241,301
2007,IndianSubContinent,M,"Computer Science",1344,1858
2007,IndianSubContinent,N/A,"Computer Science",177,252
2007,Jewish,F,"Computer Science",248,366
2007,Jewish,M,"Computer Science",1455,2143
2007,Jewish,N/A,"Computer Science",25,35
2007,Muslim,F,"Computer Science",95,156
2007,Muslim,M,"Computer Science",603,869
2007,Muslim,N/A,"Computer Science",20,41
2007,WestEuropean,F,"Computer Science",465,738
2007,WestEuropean,M,"Computer Science",2409,3895
2007,WestEuropean,N/A,"Computer Science",61,89
2008,Africans,F,"Computer Science",67,84
2008,Africans,M,"Computer Science",230,399
2008,Africans,N/A,"Computer Science",22,28
2008,British,F,"Computer Science",446,573
2008,British,M,"Computer Science",2196,3031
2008,British,N/A,"Computer Science",79,102
2008,EastEuropean,F,"Computer Science",126,194
2008,EastEuropean,M,"Computer Science",547,977
2008,EastEuropean,N/A,"Computer Science",8,18
2008,GreaterEastAsian,F,"Computer Science",1131,1445
2008,GreaterEastAsian,M,"Computer Science",2354,3122
2008,GreaterEastAsian,N/A,"Computer Science",724,918
2008,IndianSubContinent,F,"Computer Science",254,358
2008,IndianSubContinent,M,"Computer Science",1344,1956
2008,IndianSubContinent,N/A,"Computer Science",148,214
2008,Jewish,F,"Computer Science",243,371
2008,Jewish,M,"Computer Science",1367,2128
2008,Jewish,N/A,"Computer Science",30,40
2008,Muslim,F,"Computer Science",137,197
2008,Muslim,M,"Computer Science",560,863
2008,Muslim,N/A,"Computer Science",21,41
2008,WestEuropean,F,"Computer Science",413,731
2008,WestEuropean,M,"Computer Science",2201,3765
2008,WestEuropean,N/A,"Computer Science",41,78
2009,Africans,F,"Computer Science",69,89
2009,Africans,M,"Computer Science",247,392
2009,Africans,N/A,"Computer Science",11,24
2009,British,F,"Computer Science",428,554
2009,British,M,"Computer Science",2167,3011
2009,British,N/A,"Computer Science",71,92
2009,EastEuropean,F,"Computer Science",163,213
2009,EastEuropean,M,"Computer Science",578,969
2009,EastEuropean,N/A,"Computer Science",11,15
2009,GreaterEastAsian,F,"Computer Science",1342,1707
2009,GreaterEastAsian,M,"Computer Science",2871,3733
2009,GreaterEastAsian,N/A,"Computer Science",979,1211
2009,IndianSubContinent,F,"Computer Science",266,355
2009,IndianSubContinent,M,"Computer Science",1403,1919
2009,IndianSubContinent,N/A,"Computer Science",148,202
2009,Jewish,F,"Computer Science",260,376
2009,Jewish,M,"Computer Science",1351,2039
2009,Jewish,N/A,"Computer Science",28,34
2009,Muslim,F,"Computer Science",127,194
2009,Muslim,M,"Computer Science",528,814
2009,Muslim,N/A,"Computer Science",30,40
2009,WestEuropean,F,"Computer Science",469,741
2009,WestEuropean,M,"Computer Science",2403,3888
2009,WestEuropean,N/A,"Computer Science",48,78
2010,Africans,F,"Computer Science",61,91
2010,Africans,M,"Computer Science",232,388
2010,Africans,N/A,"Computer Science",20,28
2010,British,F,"Computer Science",499,630
2010,British,M,"Computer Science",2225,3043
2010,British,N/A,"Computer Science",96,110
2010,EastEuropean,F,"Computer Science",149,236
2010,EastEuropean,M,"Computer Science",620,1110
2010,EastEuropean,N/A,"Computer Science",8,12
2010,GreaterEastAsian,F,"Computer Science",1428,1794
2010,GreaterEastAsian,M,"Computer Science",2805,3642
2010,GreaterEastAsian,N/A,"Computer Science",822,1030
2010,IndianSubContinent,F,"Computer Science",269,346
2010,IndianSubContinent,M,"Computer Science",1426,1973
2010,IndianSubContinent,N/A,"Computer Science",132,189
2010,Jewish,F,"Computer Science",270,403
2010,Jewish,M,"Computer Science",1380,2144
2010,Jewish,N/A,"Computer Science",24,36
2010,Muslim,F,"Computer Science",158,243
2010,Muslim,M,"Computer Science",587,899
2010,Muslim,N/A,"Computer Science",24,40
2010,WestEuropean,F,"Computer Science",503,800
2010,WestEuropean,M,"Computer Science",2399,3991
2010,WestEuropean,N/A,"Computer Science",53,77
2011,Africans,F,"Computer Science",76,110
2011,Africans,M,"Computer Science",312,438
2011,Africans,N/A,"Computer Science",24,35
2011,British,F,"Computer Science",619,767
2011,British,M,"Computer Science",2861,3688
2011,British,N/A,"Computer Science",87,110
2011,EastEuropean,F,"Computer Science",175,248
2011,EastEuropean,M,"Computer Science",757,1190
2011,EastEuropean,N/A,"Computer Science",9,13
2011,GreaterEastAsian,F,"Computer Science",1739,2113
2011,GreaterEastAsian,M,"Computer Science",3658,4418
2011,GreaterEastAsian,N/A,"Computer Science",1119,1351
2011,IndianSubContinent,F,"Computer Science",370,475
2011,IndianSubContinent,M,"Computer Science",1728,2231
2011,IndianSubContinent,N/A,"Computer Science",187,241
2011,Jewish,F,"Computer Science",344,473
2011,Jewish,M,"Computer Science",1678,2360
2011,Jewish,N/A,"Computer Science",24,32
2011,Muslim,F,"Computer Science",170,240
2011,Muslim,M,"Computer Science",742,1063
2011,Muslim,N/A,"Computer Science",23,33
2011,WestEuropean,F,"Computer Science",679,985
2011,WestEuropean,M,"Computer Science",3084,4595
2011,WestEuropean,N/A,"Computer Science",62,97
2012,Africans,F,"Computer Science",88,124
2012,Africans,M,"Computer Science",329,487
2012,Africans,N/A,"Computer Science",29,46
2012,British,F,"Computer Science",580,698
2012,British,M,"Computer Science",2591,3421
2012,British,N/A,"Computer Science",78,95
2012,EastEuropean,F,"Computer Science",159,246
2012,EastEuropean,M,"Computer Science",700,1169
2012,EastEuropean,N/A,"Computer Science",6,7
2012,GreaterEastAsian,F,"Computer Science",1873,2212
2012,GreaterEastAsian,M,"Computer Science",3638,4502
2012,GreaterEastAsian,N/A,"Computer Science",1103,1338
2012,IndianSubContinent,F,"Computer Science",305,411
2012,IndianSubContinent,M,"Computer Science",1559,2094
2012,IndianSubContinent,N/A,"Computer Science",159,203
2012,Jewish,F,"Computer Science",337,441
2012,Jewish,M,"Computer Science",1493,2202
2012,Jewish,N/A,"Computer Science",28,37
2012,Muslim,F,"Computer Science",182,259
2012,Muslim,M,"Computer Science",705,1056
2012,Muslim,N/A,"Computer Science",33,43
2012,WestEuropean,F,"Computer Science",718,1015
2012,WestEuropean,M,"Computer Science",3053,4649
2012,WestEuropean,N/A,"Computer Science",67,102
2013,Africans,F,"Computer Science",96,130
2013,Africans,M,"Computer Science",402,534
2013,Africans,N/A,"Computer Science",29,39
2013,British,F,"Computer Science",735,873
2013,British,M,"Computer Science",3334,4224
2013,British,N/A,"Computer Science",75,97
2013,EastEuropean,F,"Computer Science",246,320
2013,EastEuropean,M,"Computer Science",917,1455
2013,EastEuropean,N/A,"Computer Science",15,15
2013,GreaterEastAsian,F,"Computer Science",2511,2929
2013,GreaterEastAsian,M,"Computer Science",4769,5718
2013,GreaterEastAsian,N/A,"Computer Science",1468,1707
2013,IndianSubContinent,F,"Computer Science",437,563
2013,IndianSubContinent,M,"Computer Science",1954,2509
2013,IndianSubContinent,N/A,"Computer Science",161,231
2013,Jewish,F,"Computer Science",430,541
2013,Jewish,M,"Computer Science",1993,2787
2013,Jewish,N/A,"Computer Science",25,36
2013,Muslim,F,"Computer Science",236,334
2013,Muslim,M,"Computer Science",1004,1351
2013,Muslim,N/A,"Computer Science",60,74
2013,WestEuropean,F,"Computer Science",955,1226
2013,WestEuropean,M,"Computer Science",4001,5626
2013,WestEuropean,N/A,"Computer Science",67,104
2014,Africans,F,"Computer Science",90,128
2014,Africans,M,"Computer Science",363,538
2014,Africans,N/A,"Computer Science",31,48
2014,British,F,"Computer Science",713,854
2014,British,M,"Computer Science",2987,3863
2014,British,N/A,"Computer Science",77,100
2014,EastEuropean,F,"Computer Science",226,308
2014,EastEuropean,M,"Computer Science",808,1312
2014,EastEuropean,N/A,"Computer Science",10,12
2014,GreaterEastAsian,F,"Computer Science",2395,2837
2014,GreaterEastAsian,M,"Computer Science",4506,5533
2014,GreaterEastAsian,N/A,"Computer Science",1419,1650
2014,IndianSubContinent,F,"Computer Science",366,510
2014,IndianSubContinent,M,"Computer Science",1848,2508
2014,IndianSubContinent,N/A,"Computer Science",174,228
2014,Jewish,F,"Computer Science",379,513
2014,Jewish,M,"Computer Science",1709,2468
2014,Jewish,N/A,"Computer Science",15,27
2014,Muslim,F,"Computer Science",234,335
2014,Muslim,M,"Computer Science",936,1310
2014,Muslim,N/A,"Computer Science",36,54
2014,WestEuropean,F,"Computer Science",738,1075
2014,WestEuropean,M,"Computer Science",3320,5150
2014,WestEuropean,N/A,"Computer Science",54,83
2015,Africans,F,"Computer Science",118,171
2015,Africans,M,"Computer Science",473,649
2015,Africans,N/A,"Computer Science",46,58
2015,British,F,"Computer Science",746,879
2015,British,M,"Computer Science",3554,4412
2015,British,N/A,"Computer Science",82,96
2015,EastEuropean,F,"Computer Science",287,359
2015,EastEuropean,M,"Computer Science",1169,1723
2015,EastEuropean,N/A,"Computer Science",9,10
2015,GreaterEastAsian,F,"Computer Science",2908,3397
2015,GreaterEastAsian,M,"Computer Science",5979,7079
2015,GreaterEastAsian,N/A,"Computer Science",1707,1957
2015,IndianSubContinent,F,"Computer Science",407,545
2015,IndianSubContinent,M,"Computer Science",2129,2735
2015,IndianSubContinent,N/A,"Computer Science",196,255
2015,Jewish,F,"Computer Science",436,576
2015,Jewish,M,"Computer Science",2093,2912
2015,Jewish,N/A,"Computer Science",22,32
2015,Muslim,F,"Computer Science",260,366
2015,Muslim,M,"Computer Science",1085,1526
2015,Muslim,N/A,"Computer Science",41,52
2015,WestEuropean,F,"Computer Science",1047,1393
2015,WestEuropean,M,"Computer Science",4619,6368
2015,WestEuropean,N/A,"Computer Science",74,113
2016,Africans,F,"Computer Science",127,164
2016,Africans,M,"Computer Science",471,606
2016,Africans,N/A,"Computer Science",40,53
2016,British,F,"Computer Science",839,939
2016,British,M,"Computer Science",3297,4016
2016,British,N/A,"Computer Science",100,112
2016,EastEuropean,F,"Computer Science",292,374
2016,EastEuropean,M,"Computer Science",962,1437
2016,EastEuropean,N/A,"Computer Science",15,18
2016,GreaterEastAsian,F,"Computer Science",2958,3485
2016,GreaterEastAsian,M,"Computer Science",5810,6957
2016,GreaterEastAsian,N/A,"Computer Science",1621,1896
2016,IndianSubContinent,F,"Computer Science",476,600
2016,IndianSubContinent,M,"Computer Science",2092,2599
2016,IndianSubContinent,N/A,"Computer Science",201,258
2016,Jewish,F,"Computer Science",433,545
2016,Jewish,M,"Computer Science",1837,2554
2016,Jewish,N/A,"Computer Science",29,41
2016,Muslim,F,"Computer Science",302,380
2016,Muslim,M,"Computer Science",1086,1448
2016,Muslim,N/A,"Computer Science",27,44
2016,WestEuropean,F,"Computer Science",927,1226
2016,WestEuropean,M,"Computer Science",3953,5504
2016,WestEuropean,N/A,"Computer Science",83,107
2000,Africans,F,"Data Engineering",4,23
2000,Africans,M,"Data Engineering",32,168
2000,Africans,N/A,"Data Engineering",1,6
2000,British,F,"Data Engineering",35,323
2000,British,M,"Data Engineering",188,1605
2000,British,N/A,"Data Engineering",9,77
2000,EastEuropean,F,"Data Engineering",12,72
2000,EastEuropean,M,"Data Engineering",74,389
2000,EastEuropean,N/A,"Data Engineering",3,6
2000,GreaterEastAsian,F,"Data Engineering",51,287
2000,GreaterEastAsian,M,"Data Engineering",170,876
2000,GreaterEastAsian,N/A,"Data Engineering",87,294
2000,IndianSubContinent,F,"Data Engineering",16,110
2000,IndianSubContinent,M,"Data Engineering",155,762
2000,IndianSubContinent,N/A,"Data Engineering",23,117
2000,Jewish,F,"Data Engineering",34,204
2000,Jewish,M,"Data Engineering",138,1089
2000,Jewish,N/A,"Data Engineering",3,13
2000,Muslim,F,"Data Engineering",13,41
2000,Muslim,M,"Data Engineering",82,284
2000,Muslim,N/A,"Data Engineering",5,20
2000,WestEuropean,F,"Data Engineering",55,326
2000,WestEuropean,M,"Data Engineering",312,1699
2000,WestEuropean,N/A,"Data Engineering",4,34
2001,Africans,F,"Data Engineering",1,19
2001,Africans,M,"Data Engineering",51,210
2001,Africans,N/A,"Data Engineering",1,14
2001,British,F,"Data Engineering",54,380
2001,British,M,"Data Engineering",215,1679
2001,British,N/A,"Data Engineering",15,78
2001,EastEuropean,F,"Data Engineering",12,91
2001,EastEuropean,M,"Data Engineering",75,472
2001,EastEuropean,N/A,"Data Engineering",1,5
2001,GreaterEastAsian,F,"Data Engineering",97,371
2001,GreaterEastAsian,M,"Data Engineering",282,1149
2001,GreaterEastAsian,N/A,"Data Engineering",157,431
2001,IndianSubContinent,F,"Data Engineering",40,148
2001,IndianSubContinent,M,"Data Engineering",205,847
2001,IndianSubContinent,N/A,"Data Engineering",23,107
2001,Jewish,F,"Data Engineering",28,206
2001,Jewish,M,"Data Engineering",193,1241
2001,Jewish,N/A,"Data Engineering",3,12
2001,Muslim,F,"Data Engineering",13,65
2001,Muslim,M,"Data Engineering",82,343
2001,Muslim,N/A,"Data Engineering",6,18
2001,WestEuropean,F,"Data Engineering",72,382
2001,WestEuropean,M,"Data Engineering",327,1926
2001,WestEuropean,N/A,"Data Engineering",12,48
2002,Africans,F,"Data Engineering",10,28
2002,Africans,M,"Data Engineering",48,190
2002,Africans,N/A,"Data Engineering",0,10
2002,British,F,"Data Engineering",57,341
2002,British,M,"Data Engineering",316,1748
2002,British,N/A,"Data Engineering",30,90
2002,EastEuropean,F,"Data Engineering",17,95
2002,EastEuropean,M,"Data Engineering",124,519
2002,EastEuropean,N/A,"Data Engineering",5,10
2002,GreaterEastAsian,F,"Data Engineering",140,409
2002,GreaterEastAsian,M,"Data Engineering",366,1128
2002,GreaterEastAsian,N/A,"Data Engineering",141,360
2002,IndianSubContinent,F,"Data Engineering",57,164
2002,IndianSubContinent,M,"Data Engineering",290,946
2002,IndianSubContinent,N/A,"Data Engineering",43,123
2002,Jewish,F,"Data Engineering",36,239
2002,Jewish,M,"Data Engineering",245,1239
2002,Jewish,N/A,"Data Engineering",10,23
2002,Muslim,F,"Data Engineering",19,65
2002,Muslim,M,"Data Engineering",104,373
2002,Muslim,N/A,"Data Engineering",6,15
2002,WestEuropean,F,"Data Engineering",103,385
2002,WestEuropean,M,"Data Engineering",498,1949
2002,WestEuropean,N/A,"Data Engineering",12,38
2003,Africans,F,"Data Engineering",13,47
2003,Africans,M,"Data Engineering",35,222
2003,Africans,N/A,"Data Engineering",0,6
2003,British,F,"Data Engineering",50,389
2003,British,M,"Data Engineering",248,2015
2003,British,N/A,"Data Engineering",10,85
2003,EastEuropean,F,"Data Engineering",26,136
2003,EastEuropean,M,"Data Engineering",86,612
2003,EastEuropean,N/A,"Data Engineering",0,10
2003,GreaterEastAsian,F,"Data Engineering",148,625
2003,GreaterEastAsian,M,"Data Engineering",275,1644
2003,GreaterEastAsian,N/A,"Data Engineering",112,529
2003,IndianSubContinent,F,"Data Engineering",34,205
2003,IndianSubContinent,M,"Data Engineering",256,1188
2003,IndianSubContinent,N/A,"Data Engineering",42,153
2003,Jewish,F,"Data Engineering",36,252
2003,Jewish,M,"Data Engineering",160,1400
2003,Jewish,N/A,"Data Engineering",2,18
2003,Muslim,F,"Data Engineering",13,95
2003,Muslim,M,"Data Engineering",69,429
2003,Muslim,N/A,"Data Engineering",6,26
2003,WestEuropean,F,"Data Engineering",84,462
2003,WestEuropean,M,"Data Engineering",359,2262
2003,WestEuropean,N/A,"Data Engineering",5,46
2004,Africans,F,"Data Engineering",12,46
2004,Africans,M,"Data Engineering",67,267
2004,Africans,N/A,"Data Engineering",4,14
2004,British,F,"Data Engineering",65,449
2004,British,M,"Data Engineering",365,2229
2004,British,N/A,"Data Engineering",12,77
2004,EastEuropean,F,"Data Engineering",23,126
2004,EastEuropean,M,"Data Engineering",116,677
2004,EastEuropean,N/A,"Data Engineering",1,6
2004,GreaterEastAsian,F,"Data Engineering",280,856
2004,GreaterEastAsian,M,"Data Engineering",555,1880
2004,GreaterEastAsian,N/A,"Data Engineering",201,637
2004,IndianSubContinent,F,"Data Engineering",39,208
2004,IndianSubContinent,M,"Data Engineering",395,1387
2004,IndianSubContinent,N/A,"Data Engineering",44,156
2004,Jewish,F,"Data Engineering",57,263
2004,Jewish,M,"Data Engineering",274,1539
2004,Jewish,N/A,"Data Engineering",2,14
2004,Muslim,F,"Data Engineering",31,114
2004,Muslim,M,"Data Engineering",152,499
2004,Muslim,N/A,"Data Engineering",12,27
2004,WestEuropean,F,"Data Engineering",108,463
2004,WestEuropean,M,"Data Engineering",554,2495
2004,WestEuropean,N/A,"Data Engineering",18,52
2005,Africans,F,"Data Engineering",15,62
2005,Africans,M,"Data Engineering",76,329
2005,Africans,N/A,"Data Engineering",7,19
2005,British,F,"Data Engineering",73,561
2005,British,M,"Data Engineering",343,2796
2005,British,N/A,"Data Engineering",19,109
2005,EastEuropean,F,"Data Engineering",23,176
2005,EastEuropean,M,"Data Engineering",134,889
2005,EastEuropean,N/A,"Data Engineering",1,4
2005,GreaterEastAsian,F,"Data Engineering",317,1127
2005,GreaterEastAsian,M,"Data Engineering",759,2763
2005,GreaterEastAsian,N/A,"Data Engineering",238,824
2005,IndianSubContinent,F,"Data Engineering",51,268
2005,IndianSubContinent,M,"Data Engineering",332,1535
2005,IndianSubContinent,N/A,"Data Engineering",51,190
2005,Jewish,F,"Data Engineering",59,321
2005,Jewish,M,"Data Engineering",272,1872
2005,Jewish,N/A,"Data Engineering",5,33
2005,Muslim,F,"Data Engineering",23,139
2005,Muslim,M,"Data Engineering",128,639
2005,Muslim,N/A,"Data Engineering",16,35
2005,WestEuropean,F,"Data Engineering",109,612
2005,WestEuropean,M,"Data Engineering",516,3156
2005,WestEuropean,N/A,"Data Engineering",11,65
2006,Africans,F,"Data Engineering",16,79
2006,Africans,M,"Data Engineering",79,351
2006,Africans,N/A,"Data Engineering",2,21
2006,British,F,"Data Engineering",84,567
2006,British,M,"Data Engineering",367,2760
2006,British,N/A,"Data Engineering",18,118
2006,EastEuropean,F,"Data Engineering",18,160
2006,EastEuropean,M,"Data Engineering",148,848
2006,EastEuropean,N/A,"Data Engineering",3,12
2006,GreaterEastAsian,F,"Data Engineering",325,1152
2006,GreaterEastAsian,M,"Data Engineering",582,2604
2006,GreaterEastAsian,N/A,"Data Engineering",241,858
2006,IndianSubContinent,F,"Data Engineering",57,283
2006,IndianSubContinent,M,"Data Engineering",407,1556
2006,IndianSubContinent,N/A,"Data Engineering",57,199
2006,Jewish,F,"Data Engineering",57,374
2006,Jewish,M,"Data Engineering",301,1917
2006,Jewish,N/A,"Data Engineering",4,35
2006,Muslim,F,"Data Engineering",30,164
2006,Muslim,M,"Data Engineering",146,686
2006,Muslim,N/A,"Data Engineering",11,35
2006,WestEuropean,F,"Data Engineering",121,641
2006,WestEuropean,M,"Data Engineering",578,3043
2006,WestEuropean,N/A,"Data Engineering",18,74
2007,Africans,F,"Data Engineering",27,93
2007,Africans,M,"Data Engineering",107,419
2007,Africans,N/A,"Data Engineering",5,26
2007,British,F,"Data Engineering",69,534
2007,British,M,"Data Engineering",380,3107
2007,British,N/A,"Data Engineering",15,119
2007,EastEuropean,F,"Data Engineering",34,202
2007,EastEuropean,M,"Data Engineering",130,880
2007,EastEuropean,N/A,"Data Engineering",9,18
2007,GreaterEastAsian,F,"Data Engineering",361,1429
2007,GreaterEastAsian,M,"Data Engineering",686,3117
2007,GreaterEastAsian,N/A,"Data Engineering",260,1013
2007,IndianSubContinent,F,"Data Engineering",41,301
2007,IndianSubContinent,M,"Data Engineering",370,1858
2007,IndianSubContinent,N/A,"Data Engineering",60,252
2007,Jewish,F,"Data Engineering",66,366
