Key,Item Type,Publication Year,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Status,
RHM4MRFL,journalArticle,2018,Distributed Intrusion Detection System for Cloud Environments based on Data Mining techniques,LogDrive: a proactive data collection and analysis framework for time-traveling forensic investigation in IaaS cloud environments,Journal of Cloud Computing,,2192-113X,10.1186/s13677-018-0119-2,https://doi.org/10.1186/s13677-018-0119-2,"This paper presents the LogDrive framework for mitigating the following problems of storage forensics in Infrastructure-as-a-Service (IaaS) cloud environments: volatility, increasing volume of forensic data, and anti-forensic attacks that hide traces of incidents in virtual machines. The proposed proactive data collection function of virtual block devices mitigates the problem of volatility within the cloud environments and enables a time-traveling investigation to reveal overwritten or deleted evidence files. We employ a sector-hash-based file detection method with random sampling to search for an evidence file in the record of the write logs of the virtual storage. The problem formulation, the investigation context, and the design with five algorithms are presented. We explore the performance of LogDrive through a detailed evaluation. Finally, security analysis of LogDrive is presented based on the STRIDE (Spoofing, Tampering, Repudiation, Information disclosure, Denial of service, and Elevation of privilege) threats model and related work. We posted the source code of LogDrive on GitHub.",2018-10-03,2019-07-12 5:22:45,2019-07-12 5:22:45,2019-07-12 5:22:44,18,,1,7,,J Cloud Comp,LogDrive,,,,,,,en,,,ScienceDirect,,Springer Link,,,,C:\Users\mathe\Zotero\storage\K95LJESX\Chinnaiah e Niranjan - 2018 - Fault tolerant software systems using software con.pdf,,,Reliability; Configurable software systems; Configurations interactions; Fault tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
TAYCMNHR,,,UbeHealth: A Personalized Ubiquitous Cloud and Edge-Enabled Networked Healthcare System for Smart Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
5G7LISTH,conferencePaper,2017,IoT data feature extraction and intrusion detection system for smart cities based on deep migration learning,Dynamic IoT Management System Using K-means Machine Learning for Precision Agriculture Applications,"Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing",978-1-4503-4774-7,,10.1145/3018896.3036385,http://doi.acm.org/10.1145/3018896.3036385,"Multi-media applications for use in Precision Agriculture (PA) and Smart Farming (SM) require Network Management Systems to deliver Quality of Service (QoS) end-to-end guarantees. This paper presents the second phase of the research in providing a network management system capable of delivering end-to-end QoS guarantees for Internet of Things (IOT) networks. The first phase of this work used a wireless test bed to develop a propagation model to incorporate the attenuation due to foliage in dense vegetation typically found in PA environments. The output of this propagation model will influence the decision making process in the network management system. Wireless Multimedia Sensor Networks (WMSN) operate under the umbrella of the Wireless Sensor Network (WSN) IEEE 802.15.4 Medium Access Control (MAC) and Physical (PHY) protocol to deliver multimedia applications such as voice, video and live streaming. To operate successfully these multi-media applications have high QoS requirements. To enable these QoS requirements to be fulfilled performance metrics such as throughput, end-to-end delay and limited packet loss must be guaranteed. This next phase of the work in developing the intelligent network management system presented in this paper uses an OPNET™ simulation package to implement a modified K-Means algorithm to detect the presence of multi-media traffic. Consequently a signal informs the network management system to adopt pre-configured settings via the Personal Area Network Co-ordinator (PANC). The resulting changes implement service differentiation by manipulating the MAC layer (size of the individual GTS timeslots and duty cycle) to deliver better throughput and end-to-end delay performance. OPNET™ simulation results show that the new algorithm facilitates better performance and meets QoS requirements suitable to multimedia applications. This paper focuses on the derivation and evaluation of the performance of the K-Means algorithm. The sensory nodes are power, memory and computationally restricted. These restrictions coupled with the heterogeneous structure of the wireless network make intelligent network management systems very important if the QoS requirements are to be fulfilled. Upon detection of multimedia traffic with high QoS demands usually triggered in the aftermath of an event of particular interest e.g. security threat etc., a management system must dynamically effect change of the network configuration settings to maintain such guarantees. As real-time applications require an urgent response, the dynamic change must occur during run time automatically. This research work is novel in that it combines the output from the development of the physical layer propagation model to inform a network management system to trigger service differentiation for multimedia traffic in a PA environment.",2017,2019-07-12 5:18:25,2019-07-12 5:18:25,2019-07-12 5:18:01,142:1–142:8,,,,,,,ICC '17,,,,ACM,"New York, NY, USA",,,,ScienceDirect,,ACM Digital Library,,,,,,,Android malware; Google app engine; Google cloud messaging; machine Learning; Sandbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
NB2ECNAT,,,A Parallel Host Log Analysis Approach Based on Spark,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possível Reanálise,Valido
JLPJDDVV,,,Minimizing Privilege Assignment Errors in Cloud Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM Digital Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
5QM5ALBK,journalArticle,2016,Scheduling framework for distributed intrusion detection systems over heterogeneous network architectures,ScanMe Mobile: A Cloud-based Android Malware Analysis Service,SIGAPP Appl. Comput. Rev.,,1559-6915,10.1145/2924715.2924719,http://doi.acm.org/10.1145/2924715.2924719,"As mobile malware have increased in number and sophistication, it has become pertinent for users to have tools that can inform them of potentially malicious applications. To fulfill this need, we develop a cloud-based malware analysis service called ScanMe Mobile, for the Android platform. The objective of this service is to provide users with detailed information about Android Application Package (APK) files before installing them on their devices. With ScanMe Mobile, users are able to upload APK files from their device SD card, scan the APK in the malware detection system that could be deployed in the cloud, compile a comprehensive report, and store or share the report by publishing it to the website. ScanMe Mobile works by running the APK in a virtual sandbox to generate permission data, and analyzes the result in the machine learning detection system. Through our experimental results, we demonstrate that the proposed system can effectively detect malware on the Android platform.",2016-04,2019-07-12 5:18:25,2019-07-12 5:18:25,2019-07-12 5:17:59,36–49,,1,16,,,ScanMe Mobile,,,,,,,,,,ScienceDirect,,ACM Digital Library,,"event-place: Hamburg, Germany",,,,,intrusion detection systems; network function virtualization; information security; Economical denial of sustainability; self-organizing networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
RJ4UKEUH,,,A hybrid auto-scaling technique for clouds processing applications with service level agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
NU98XE7E,journalArticle,2019,Device-Free Occupant Activity Sensing Using WiFi-Enabled IoT Devices for Smart Homes,Improved Homomorphic Discrete Fourier Transforms and FHE Bootstrapping,IEEE Access,,2169-3536,10.1109/ACCESS.2019.2913850,,"Homomorphic encryption (HE), which enables computation on ciphertexts without any leakage, rise as a most promising solution for privacy-preserving data processing, including secure machine learning and secure out-sourcing computation. Despite the extensive applicability of HE, the current constructions are sometimes considered as impractical due to its inefficiency. In this paper, we propose improvements on the linear transformation in bootstrapping, a technique allowing the infinite number of operation for HE, and homomorphic discrete Fourier transformation (DFT) using batch homomorphic encryption. We observe that the multiplication of a sparse diagonal matrix and ciphertext of a vector can be done within O(1) homomorphic computations. This observation induces the faster algorithm for linear transformation in bootstrapping and homomorphic DFT. To achieve this, we use Cooley-Tukey matrix factorization and construct a new recursive factorization of the linear transformation in bootstrapping. Our method with radix r only requires O(r logr n) constant vector multiplication and O(√r logr n) rotations by consuming O(logr n) depth when the input vector size is n. The previous method used in the library, a library that implements homomorphic encryption for approximate computation, requires O(n) and O(√n), respectively. To show the performance improvement, we implement our method on top of the library. Our implementation, along with further few techniques, of these algorithms show the significant improvements compared to the previous algorithm. New homomorphic DFT with length 214 only takes about 8s which results 150 times faster than the previous method. Furthermore, the bootstrapping takes about 2 minutes for ℂ32768 plaintext space with 8-bit precision, which takes 26 hours with same bit precision using the previous method.",2019,2019-07-12 5:15:14,2019-07-12 5:15:14,,57361-57370,,,7,,,,,,,,,,,,,IEEE Xplore,,IEEE Xplore,,,,C:\Users\mathe\Zotero\storage\Q2ASQV4F\8458466.html; C:\Users\mathe\Zotero\storage\TANUYV2H\Gao et al. - 2018 - A Novel Semi-Supervised Learning Approach for Netw.pdf,,,cloud computing; security of data; unsupervised learning; Data models; Intrusion detection; pattern classification; data mining; data analysis; supervised learning; artificial intelligence (AI); artificial intelligence techniques; cloud-based robotic system; clouds; control engineering computing; data safety; ensemble learning; ensemble system; fuzziness-based method; intelligent NIDS; machine learning techniques; network intrusion detection system; novel fuzziness-based; NSL-KDD data set; robotic system; robots; Robots; semi-supervised learning; Semisupervised learning; semisupervised learning approach; Supervised learning; supervised parts; Unsupervised learning; unsupervised parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,Valido
Z7U5SL5M,conferencePaper,2016,"A general perspective of Big Data: applications, tools, challenges and trends",Detecting Advanced Persistent Threats Using Fractal Dimension Based Machine Learning Classification,Proceedings of the 2016 ACM on International Workshop on Security And Privacy Analytics,978-1-4503-4077-9,,10.1145/2875475.2875484,http://doi.acm.org/10.1145/2875475.2875484,"Advanced Persistent Threats (APTs) are a new breed of internet based smart threats, which can go undetected with the existing state of-the-art internet traffic monitoring and protection systems. With the evolution of internet and cloud computing, a new generation of smart APT attacks has also evolved and signature based threat detection systems are proving to be futile and insufficient. One of the essential strategies in detecting APTs is to continuously monitor and analyze various features of a TCP/IP connection, such as the number of transferred packets, the total count of the bytes exchanged, the duration of the TCP/IP connections, and details of the number of packet flows. The current threat detection approaches make extensive use of machine learning algorithms that utilize statistical and behavioral knowledge of the traffic. However, the performance of these algorithms is far from satisfactory in terms of reducing false negatives and false positives simultaneously. Mostly, current algorithms focus on reducing false positives, only. This paper presents a fractal based anomaly classification mechanism, with the goal of reducing both false positives and false negatives, simultaneously. A comparison of the proposed fractal based method with a traditional Euclidean based machine learning algorithm (k-NN) shows that the proposed method significantly outperforms the traditional approach by reducing false positive and false negative rates, simultaneously, while improving the overall classification rates.",2016,2019-07-12 5:41:16,2019-07-12 5:41:16,2019-07-12 5:40:41,64–69,,,,,,,IWSPA '16,,,,ACM,"New York, NY, USA",,,,Springer Link,,ACM Digital Library,,"event-place: Austin, Texas, USA",,,,,machine learning; big data; analytics; ddos detection; ddos mitigation; distributed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
ZPGDWMZK,journalArticle,2017,Can functional characteristics usefully define the cloud computing landscape and is the current reference model correct?,Journal of Cloud Computing,,2192-113X,10.1186/s13677-017-0084-1,https://doi.org/10.1186/s13677-017-0084-1,"The NIST definition of cloud computing has been accepted by the majority of the community as the best available description to fully capture the variety of factors which determine how different stakeholders create, use or interact with cloud computing. With the breadth of the cloud computing landscape there is a need being expressed from within different cloud activities to consider how it may be best segmented so that the diversity might be more easily understood by the different stakeholders. The NIST definition considers four different deployment models (Private, Public, Hybrid, Community Cloud), three different service models (IaaS, PaaS, SaaS), and a number of characteristics (five in the final published version, but 13 in previous unpublished drafts). Exploring the definition further, this study aims to answer two questions: first, how can we use the affinity that different activities have with the definition’s characteristics and second, how well does the definition describe the whole cloud ecosystem? We find that utilising a quantitative methodology shows a clustering of different cloud projects and activities that are technically aligned and therefore likely to benefit from interactions and shared learning, and that the final (short-list) definition is more robust than the draft (long-list) definition. Finally, we present a segmentation of the cloud landscape that we believe can best support a sharing of learning between projects in individual clusters.",2017-06-05,2019-07-12 5:38:04,2019-07-12 5:38:04,2019-07-12 5:38:03,10,,1,6,,J Cloud Comp,,,,,,,en,,,,,Springer Link,,,,C:\Users\mathe\Zotero\storage\DZMAM49Y\Caithness et al. - 2017 - Can functional characteristics usefully define the.pdf,,,Cloud computing; Cloud ecosystem; NIST definition of cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
7I5C2A97,conferencePaper,2017,Big data analytics: a survey,Dynamic IoT Management System Using K-means Machine Learning for Precision Agriculture Applications,"Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing",978-1-4503-4774-7,,10.1145/3018896.3036385,http://doi.acm.org/10.1145/3018896.3036385,"Multi-media applications for use in Precision Agriculture (PA) and Smart Farming (SM) require Network Management Systems to deliver Quality of Service (QoS) end-to-end guarantees. This paper presents the second phase of the research in providing a network management system capable of delivering end-to-end QoS guarantees for Internet of Things (IOT) networks. The first phase of this work used a wireless test bed to develop a propagation model to incorporate the attenuation due to foliage in dense vegetation typically found in PA environments. The output of this propagation model will influence the decision making process in the network management system. Wireless Multimedia Sensor Networks (WMSN) operate under the umbrella of the Wireless Sensor Network (WSN) IEEE 802.15.4 Medium Access Control (MAC) and Physical (PHY) protocol to deliver multimedia applications such as voice, video and live streaming. To operate successfully these multi-media applications have high QoS requirements. To enable these QoS requirements to be fulfilled performance metrics such as throughput, end-to-end delay and limited packet loss must be guaranteed. This next phase of the work in developing the intelligent network management system presented in this paper uses an OPNET™ simulation package to implement a modified K-Means algorithm to detect the presence of multi-media traffic. Consequently a signal informs the network management system to adopt pre-configured settings via the Personal Area Network Co-ordinator (PANC). The resulting changes implement service differentiation by manipulating the MAC layer (size of the individual GTS timeslots and duty cycle) to deliver better throughput and end-to-end delay performance. OPNET™ simulation results show that the new algorithm facilitates better performance and meets QoS requirements suitable to multimedia applications. This paper focuses on the derivation and evaluation of the performance of the K-Means algorithm. The sensory nodes are power, memory and computationally restricted. These restrictions coupled with the heterogeneous structure of the wireless network make intelligent network management systems very important if the QoS requirements are to be fulfilled. Upon detection of multimedia traffic with high QoS demands usually triggered in the aftermath of an event of particular interest e.g. security threat etc., a management system must dynamically effect change of the network configuration settings to maintain such guarantees. As real-time applications require an urgent response, the dynamic change must occur during run time automatically. This research work is novel in that it combines the output from the development of the physical layer propagation model to inform a network management system to trigger service differentiation for multimedia traffic in a PA environment.",2017,2019-07-12 5:41:16,2019-07-12 5:41:16,2019-07-12 5:40:54,142:1–142:8,,,,,,,ICC '17,,,,ACM,"New York, NY, USA",,,,Springer Link,,ACM Digital Library,,,,,,,Android malware; Google app engine; Google cloud messaging; machine Learning; Sandbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
GL9Z2SN9,conferencePaper,2017,A Data Quality-aware Cloud Service Based on Metaheuristic and Machine Learning Provisioning Algorithms,Machine Learning Based DDoS Attack Detection from Source Side in Cloud,2017 IEEE 4th International Conference on Cyber Security and Cloud Computing (CSCloud),,,10.1109/CSCloud.2017.58,,"Denial of service (DOS) attacks are a serious threat to network security. These attacks are often sourced from virtual machines in the cloud, rather than from the attacker's own machine, to achieve anonymity and higher network bandwidth. Past research focused on analyzing traffic on the destination (victim's) side with predefined thresholds. These approaches have significant disadvantages. They are only passive defenses after the attack, they cannot use the outbound statistical features of attacks, and it is hard to trace back to the attacker with these approaches. In this paper, we propose a DOS attack detection system on the source side in the cloud, based on machine learning techniques. This system leverages statistical information from both the cloud server's hypervisor and the virtual machines, to prevent network packages from being sent out to the outside network. We evaluate nine machine learning algorithms and carefully compare their performance. Our experimental results show that more than 99.7% of four kinds of DOS attacks are successfully detected. Our approach does not degrade performance and can be easily extended to broader DOS attacks.",2017-06,2019-07-19 1:37:50,2019-07-19 1:37:50,,114-120,,,,,,,,,,,,,,,,ACM Digital Library,,IEEE Xplore,,,,C:\Users\mathe\Zotero\storage\NNERGH5G\8442438.html,,,machine learning; feature extraction; Feature extraction; Machine learning; Support vector machines; entropy; support vector machine; support vector machines; SVM; neural nets; approximate entropy; brain electrical activity; CHB-MIT database; Classification; EEG data; electroencephalograms; electroencephalography; Electroencephalography; Electroencephalography (EEG); K-nearest neighbor; linear discriminant classifier; machine learning based generalized automated seizure detection system; Mathematical model; medical disorders; medical signal detection; medical signal processing; nearest neighbour methods; nonlinear features; nonseizure signals; PNN classifier; preliminary seizure detection; probabilistic neural network; sample entropy; seizure; seizure diagnosis; Sensitivity; signal classification; signal decomposition; standard deviation; Standards; supervised machine learning classifiers; trees (mathematics); wavelet decomposition; wavelet decomposition tree; wavelet transforms; wavelet-coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2018 8th International Conference on Cloud Computing, Data Science Engineering (Confluence)",,,,,,,,,,,,,,Pendente,Valido
